Ingresa tu edad,2. Disfruto iniciar conversaciones con personas que acabo de conocer.,3. Mantengo mi espacio de trabajo limpio y ordenado de forma constante.,4. Me adapto rápidamente cuando cambian mis planes a última hora.,5. Busco soluciones originales y diferentes cuando me enfrento a un problema.,"6. Persisto en mis tareas hasta terminarlas, incluso cuando se vuelven difíciles.",7. Ofrezco mi ayuda a otros miembros del equipo antes de que me la pidan.,8. Mantengo la calma y la concentración durante situaciones de alta presión.,9. Tomo decisiones con rapidez y seguridad cuando debo elegir entre varias opciones.,10. Me siento cómodo siendo el centro de atención en reuniones o eventos colectivos.,11. Planifico detalladamente mis actividades diarias antes de ejecutarlas.,12. Disfruto probar formas nuevas e inusuales de hacer las cosas cotidianas.,13. Mantengo mi compromiso con una meta a largo plazo a pesar de los obstáculos.,14. Priorizo el bienestar general del grupo por encima de mis opiniones individuales.,15. Recupero el control emocional rápidamente después de un contratiempo.,16. Asumo la responsabilidad directiva para resolver una situación ambigua.,17. Disfruto escuchar música rock.,18. Disfruto escuchar música pop.,19. Disfruto escuchar música electrónica.,20. Disfruto escuchar música clásica o instrumental.,21. Escucho música mientras trabajo o estudio.,22. Escucho música para relajarme.,23. Descubro música nueva con frecuencia.,24. La letra de una canción es importante para mí.,25. Escucho música todos los días.
27,2,4,4,4,4,5,4,2,3,1,4,3,2,3,2,3,5,2,3,3,4,2,5,4
23,2,3,3,3,3,3,2,3,4,2,2,3,3,2,2,3,4,3,3,4,3,4,4,4
27,4,5,3,4,2,3,2,2,5,3,4,5,5,2,2,1,4,4,3,3,5,5,5,5
32,4,5,5,4,3,2,4,3,4,5,2,3,2,2,4,2,4,3,2,4,5,4,3,3
23,3,4,3,3,3,2,2,5,3,4,5,4,5,3,3,2,4,2,3,4,2,4,3,2
23,3,5,3,3,3,2,5,4,4,2,5,3,3,2,4,1,4,3,1,5,5,2,4,4
32,5,3,1,3,4,4,2,1,3,4,4,3,5,4,4,2,2,1,5,4,3,3,2,5
28,2,2,4,3,5,4,4,4,3,1,4,4,1,1,3,4,4,5,4,3,5,4,4,5
22,4,2,4,2,3,2,3,4,2,4,5,2,4,2,4,5,2,3,2,5,4,3,3,3
27,3,5,5,5,5,4,4,2,5,3,3,3,2,2,3,2,4,5,5,3,4,4,3,5
22,3,4,3,2,2,3,3,4,2,3,2,3,1,3,2,4,3,3,3,4,4,4,1,5
22,5,3,3,3,3,4,3,4,5,4,4,4,3,2,4,1,5,3,2,5,5,5,5,4
25,4,4,3,3,2,5,3,2,3,2,5,3,4,4,3,4,4,2,4,5,3,2,3,3
17,4,2,5,4,1,4,2,2,1,2,2,4,2,1,2,2,2,5,4,5,5,5,5,4
17,5,5,3,3,3,3,4,4,3,2,3,4,1,3,3,3,4,2,4,5,5,5,5,4
21,3,4,3,5,3,3,3,3,1,4,4,4,3,4,2,2,4,4,3,3,5,4,2,5
19,4,4,4,3,5,1,3,3,3,1,3,2,3,5,3,5,5,3,4,5,5,5,3,3
26,3,4,3,4,4,3,2,3,4,1,2,3,4,2,4,1,3,1,3,5,4,5,5,5
19,4,4,3,3,2,3,1,3,2,3,5,5,4,3,4,4,2,3,4,4,5,2,5,3
17,3,4,3,5,5,2,3,1,3,4,5,4,3,1,2,2,5,2,1,5,4,3,4,2
32,3,3,4,2,5,3,5,4,5,4,4,2,5,1,3,3,2,3,3,5,5,1,4,5
23,4,4,2,4,4,3,4,4,2,3,2,4,3,4,4,2,3,2,5,5,4,4,3,1
24,2,5,3,4,3,3,3,3,1,3,2,2,3,3,4,1,3,5,2,5,4,4,5,4
17,5,5,2,4,2,3,3,3,5,4,4,3,1,4,5,3,4,3,2,4,5,4,3,5
21,2,5,4,3,3,4,3,1,5,1,5,5,3,1,4,3,5,3,2,4,4,3,1,4
25,2,3,1,3,5,4,4,3,3,3,4,3,3,4,4,3,3,4,1,4,3,1,2,3
18,5,2,2,3,5,2,2,3,4,3,3,3,4,5,2,3,3,5,1,5,4,4,4,4
26,4,3,4,3,5,5,4,3,4,4,3,4,4,4,4,4,4,3,3,3,5,5,2,4
21,4,4,5,4,3,3,4,4,2,2,2,2,2,3,3,4,4,2,3,2,5,3,4,4
22,4,5,3,5,2,3,4,2,2,3,4,3,3,3,3,1,4,1,3,4,4,4,3,5
21,3,2,2,3,4,4,4,3,4,1,4,4,4,1,3,4,4,2,3,3,5,2,3,3
34,2,5,5,2,1,4,3,2,5,2,2,3,5,5,4,1,5,3,3,4,3,4,5,5
24,3,3,1,3,4,4,4,3,3,4,5,3,4,2,4,4,4,3,5,5,4,3,4,5
18,2,3,1,5,3,4,4,3,2,2,4,4,4,4,2,4,4,3,3,3,4,3,4,5
28,4,2,4,3,3,3,3,3,5,3,5,4,3,1,4,1,2,4,2,3,4,3,5,3
