"Marca temporal","Ingresa tu edad","2. Disfruto iniciar conversaciones con personas que acabo de conocer.","3. Mantengo mi espacio de trabajo limpio y ordenado de forma constante.","4. Me adapto rápidamente cuando cambian mis planes a última hora.","5. Busco soluciones originales y diferentes cuando me enfrento a un problema.","6. Persisto en mis tareas hasta terminarlas, incluso cuando se vuelven difíciles.","7. Ofrezco mi ayuda a otros miembros del equipo antes de que me la pidan.","8. Mantengo la calma y la concentración durante situaciones de alta presión.","9. Tomo decisiones con rapidez y seguridad cuando debo elegir entre varias opciones.","10. Me siento cómodo siendo el centro de atención en reuniones o eventos colectivos.","11. Planifico detalladamente mis actividades diarias antes de ejecutarlas.","12. Disfruto probar formas nuevas e inusuales de hacer las cosas cotidianas.","13. Mantengo mi compromiso con una meta a largo plazo a pesar de los obstáculos.","14. Priorizo el bienestar general del grupo por encima de mis opiniones individuales.","15. Recupero el control emocional rápidamente después de un contratiempo.","16. Asumo la responsabilidad directiva para resolver una situación ambigua.","17. Disfruto escuchar música rock.","18. Disfruto escuchar música pop.","19. Disfruto escuchar música electrónica.","20. Disfruto escuchar música clásica o instrumental.","21. Escucho música mientras trabajo o estudio.","22. Escucho música para relajarme.","23. Descubro música nueva con frecuencia.","24. La letra de una canción es importante para mí.","25. Escucho música todos los días."
"2026/07/21 4:55:17 p.m. GMT-6","24","4","3","5","2","5","4","4","4","4","3","2","4","5","5","5","5","5","5","5","5","5","5","5","5"
"2026/07/21 7:06:23 p.m. GMT-6","21","3","3","4","4","3","3","2","3","2","3","3","3","3","4","3","3","3","5","3","4","5","4","4","5"
"2026/07/21 7:33:50 p.m. GMT-6","20","3","3","2","4","2","4","4","2","2","2","4","3","3","3","3","2","4","1","2","3","2","4","4","3"
"2026/07/21 7:43:29 p.m. GMT-6","30","3","5","2","4","5","4","5","5","3","4","3","5","2","2","4","1","5","4","3","5","5","5","5","5"
"2026/07/21 7:46:06 p.m. GMT-6","21","1","4","3","3","4","4","3","2","1","2","1","4","4","2","3","2","5","3","4","5","4","4","5","5"
"2026/07/21 7:46:24 p.m. GMT-6","20","5","5","2","3","3","3","4","3","4","4","4","4","5","4","4","2","1","3","1","5","5","5","3","5"
"2026/07/21 7:48:33 p.m. GMT-6","22","4","3","4","5","5","4","4","5","4","4","4","5","5","4","4","5","4","3","5","5","3","3","4","5"
"2026/07/21 7:49:26 p.m. GMT-6","36","4","4","4","4","4","3","3","3","3","3","4","4","4","3","3","5","4","4","5","4","4","3","5","5"
"2026/07/21 7:51:22 p.m. GMT-6","35","1","2","3","4","1","2","2","2","2","2","2","2","2","2","2","5","5","5","5","5","5","5","5","5"
"2026/07/21 8:14:49 p.m. GMT-6","21","3","2","4","2","4","2","3","3","2","4","4","4","3","2","4","5","4","3","4","5","4","4","4","5"
"2026/07/21 8:25:34 p.m. GMT-6","20","3","5","3","2","5","5","4","2","2","2","3","4","1","2","2","1","1","1","1","2","5","5","5","5"
"2026/07/21 8:31:00 p.m. GMT-6","22","5","5","5","4","3","2","4","5","5","5","3","5","4","2","3","1","5","3","3","4","5","5","5","2"
"2026/07/21 8:44:41 p.m. GMT-6","21","4","4","4","4","3","2","3","4","3","4","3","4","3","4","4","3","2","3","5","4","5","4","4","4"
"2026/07/21 8:49:54 p.m. GMT-6","20","5","2","3","3","3","4","3","3","2","3","5","3","3","4","5","2","5","4","5","4","5","3","5","3"
"2026/07/21 9:16:53 p.m. GMT-6","18","3","4","5","5","5","5","3","3","4","3","3","4","5","4","5","2","2","3","2","5","4","3","5","5"
"2026/07/21 9:33:16 p.m. GMT-6","21","4","4","2","3","4","4","3","3","2","4","5","4","3","1","3","3","4","4","3","5","5","5","5","5"
